index,roll_H,Kalman_roll,torque
324,-42,-39,40
325,-41,-35,33
326,-32,-32,27
327,-27,-28,18
328,-31,-24,6
329,-22,-20,5
330,-13,-16,15
331,-15,-11,18
332,-12,-7,15
333,0,-3,8
334,1,1,9
335,1,5,13
336,5,9,10
337,12,12,3
338,15,15,-22
339,15,20,-40
340,20,24,-49
341,26,27,-50
342,28,31,-35
343,32,36,-15
344,46,42,9
345,53,49,31
346,55,53,53
347,61,58,80
348,66,63,111
349,67,65,142
350,67,66,137
351,65,65,126
352,57,63,116
353,58,60,120
354,57,58,129
355,58,56,140
356,53,53,146
357,54,51,152
358,48,48,154
359,43,44,152
360,41,40,139
361,43,37,138
362,37,34,134
363,30,30,132
364,25,26,122
365,26,23,99
366,25,20,84
367,23,19,90
368,21,17,99
369,15,15,103
370,12,12,91
371,13,10,76
372,10,8,68
373,11,7,70
374,7,5,95
375,3,3,117
376,0,1,112
377,1,0,93
378,0,-1,68
379,0,-2,54
380,-2,-3,64
381,-3,-3,90
382,-4,-4,111
383,-5,-5,111
384,-5,-6,100
385,-6,-8,88
386,-8,-9,83
387,-9,-10,95
388,-14,-12,104
389,-15,-13,105
390,-17,-15,95
391,-17,-16,80
392,-18,-17,77
393,-15,-18,83
394,-15,-17,95
395,-14,-17,108
396,-15,-16,120
397,-17,-16,130
398,-20,-18,129
399,-20,-20,111
400,-23,-22,94
401,-26,-24,67
402,-30,-26,61
403,-30,-27,71
404,-29,-27,83
405,-22,-26,88
406,-22,-25,95
407,-23,-25,94
408,-25,-25,95
409,-27,-25,95
410,-27,-26,88
411,-26,-26,81
412,-23,-25,76
413,-21,-24,75
414,-21,-23,77
415,-21,-22,93
416,-21,-21,104
417,-21,-21,113
418,-21,-20,110
419,-20,-21,102
420,-21,-22,94
421,-20,-22,95
422,-21,-22,106
423,-21,-22,116
424,-23,-22,133
425,-23,-23,143
426,-24,-24,140
427,-24,-25,121
428,-26,-27,108
429,-27,-28,106
430,-28,-29,115
431,-29,-29,131
432,-29,-30,156
433,-28,-31,187
434,-27,-32,205
435,-26,-33,205
436,-35,-35,203
437,-40,-40,204
438,-45,-44,222
439,-48,-48,245
440,-49,-52,269
441,-51,-56,295
442,-56,-61,302
443,-62,-67,292
444,-68,-72,269
445,-76,-77,245
446,-83,-83,219
447,-87,-89,220
448,-94,-95,213
449,-101,-102,197
450,-108,-107,167
451,-109,-111,135
452,-113,-113,126
453,-113,-114,152
454,-111,-115,180
455,-110,-117,210
456,-112,-118,239
457,-114,-119,225
458,-122,-122,200
459,-127,-125,200
460,-129,-128,213
461,-129,-130,219
462,-133,-132,208
463,-133,-135,182
464,-136,-136,155
465,-140,-138,147
466,-142,-140,167
467,-145,-142,186
468,-143,-143,215
469,-147,-144,224
470,-149,-147,207
471,-153,-150,178
472,-156,-152,147
473,-158,-152,114
474,-158,-152,79
475,-155,-149,41
476,-150,-145,2
477,-143,-140,-38
478,-135,-134,-27
479,-127,-126,-20
480,-119,-118,-17
481,-115,-109,-10
482,-103,-101,5
483,-94,-92,13
484,-82,-83,35
485,-71,-73,59
486,-62,-64,81
487,-56,-55,111
488,-48,-48,138
489,-44,-41,172
490,-36,-36,208
491,-34,-33,215
492,-33,-31,207
493,-33,-30,198
494,-33,-31,212
495,-33,-30,245
496,-30,-30,280
497,-29,-30,274
498,-35,-32,252
499,-35,-35,229
500,-34,-36,203
501,-34,-36,176
502,-36,-36,171
503,-40,-36,187
504,-38,-38,192
505,-36,-38,181
506,-39,-39,164
507,-38,-39,161
508,-37,-39,164
509,-38,-39,169
510,-40,-38,163
511,-41,-38,159
512,-38,-38,154
513,-36,-38,149
514,-35,-37,147
515,-30,-35,158
516,-30,-33,166
517,-31,-31,188
518,-29,-30,203
519,-29,-30,205
520,-31,-31,192
521,-31,-31,166
522,-34,-32,136
523,-34,-32,130
524,-34,-32,136
525,-31,-31,160
526,-29,-30,187
527,-28,-30,194
528,-27,-29,190
529,-22,-28,176
530,-25,-27,162
531,-31,-27,163
532,-30,-28,174
533,-31,-29,182
534,-27,-29,189
535,-25,-28,185
536,-24,-27,172
537,-26,-27,160
538,-28,-27,153
539,-25,-26,157
540,-26,-25,161
541,-24,-25,164
542,-23,-24,163
543,-22,-24,160
544,-23,-24,156
545,-24,-23,168
546,-23,-22,184
547,-22,-21,197
548,-19,-21,193
549,-16,-20,183
550,-20,-20,162
551,-21,-20,155
552,-25,-21,166
553,-28,-22,182
554,-25,-23,201
555,-22,-23,216
556,-23,-24,225
557,-30,-26,221
558,-31,-29,204
559,-35,-31,175
560,-40,-33,145
561,-40,-36,126
562,-38,-37,137
563,-33,-36,159
564,-30,-34,188
565,-29,-32,208
566,-28,-31,210
567,-31,-30,200
568,-28,-30,189
569,-28,-29,173
570,-29,-29,163
571,-28,-29,156
572,-24,-28,160
573,-26,-27,176
574,-25,-26,192
575,-23,-25,206
576,-23,-24,210
577,-21,-24,207
578,-23,-25,195
579,-25,-25,182
580,-23,-25,167
581,-29,-26,160
582,-26,-26,168
583,-25,-26,182
584,-21,-25,197
585,-20,-24,210
586,-21,-23,216
587,-27,-24,221
588,-27,-26,218
589,-31,-28,199
590,-29,-29,174
591,-29,-29,158
592,-30,-29,152
593,-32,-30,162
594,-31,-30,182
595,-32,-30,193
596,-31,-30,198
597,-28,-30,193
598,-28,-30,186
599,-28,-29,179
600,-29,-29,177
601,-29,-29,181
602,-29,-29,187
603,-32,-29,193
604,-27,-29,194
605,-29,-29,195
606,-29,-30,190
607,-30,-29,190
608,-25,-29,184
609,-27,-28,185
610,-29,-27,190
611,-30,-28,195
612,-30,-29,201
613,-32,-30,201
614,-30,-31,199
615,-29,-31,198
616,-33,-31,193
617,-34,-32,186
618,-32,-32,174
619,-31,-32,169
620,-27,-31,180
621,-28,-30,189
622,-32,-30,205
623,-32,-31,210
624,-33,-31,201
625,-34,-31,186
626,-28,-31,184
627,-28,-30,189
628,-29,-30,195
629,-30,-30,203
630,-31,-29,201
631,-30,-29,202
632,-27,-29,205
633,-27,-29,205
634,-28,-29,199
635,-28,-29,197
636,-31,-30,198
637,-31,-30,204
638,-33,-30,203
639,-31,-31,210
640,-28,-31,201
641,-30,-31,199
642,-29,-31,193
643,-29,-30,197
644,-28,-29,201
645,-25,-28,197
646,-27,-27,192
647,-28,-28,188
648,-32,-29,188
649,-31,-30,200
650,-33,-31,206
651,-35,-32,215
652,-32,-33,220
653,-36,-34,217
654,-37,-35,208
655,-36,-36,198
656,-35,-36,192
657,-33,-36,198
658,-32,-34,213
659,-32,-33,220
660,-33,-33,219
661,-31,-33,209
662,-33,-34,207
663,-32,-34,200
664,-35,-34,204
665,-37,-34,207
666,-35,-35,212
667,-32,-34,218
668,-30,-34,218
669,-33,-34,219
670,-37,-35,210
671,-38,-37,206
672,-42,-38,202
673,-41,-40,198
674,-37,-39,204
675,-37,-39,215
676,-40,-39,219
677,-39,-40,219
678,-40,-40,215
679,-44,-41,208
680,-41,-41,201
681,-43,-41,204
682,-42,-41,210
683,-40,-41,219
684,-38,-41,225
685,-39,-40,226
686,-41,-40,228
687,-43,-41,233
688,-44,-42,235
689,-39,-42,230
690,-36,-41,220
691,-40,-41,215
692,-42,-42,219
693,-46,-43,221
694,-46,-44,225
695,-43,-44,223
696,-42,-44,220
697,-42,-44,224
698,-43,-45,224
699,-44,-45,231
700,-46,-45,236
701,-46,-45,228
702,-44,-45,222
703,-45,-45,212
704,-44,-45,215
705,-44,-45,226
706,-45,-45,241
707,-46,-46,248
708,-47,-46,250
709,-46,-46,246
710,-47,-47,239
711,-49,-48,238
712,-49,-50,245
713,-49,-50,248
714,-48,-50,255
715,-50,-50,258
716,-49,-51,278
717,-51,-52,299
718,-51,-54,308
719,-52,-55,308
720,-56,-57,294
721,-59,-59,284
722,-64,-62,277
723,-66,-64,284
724,-63,-66,290
725,-63,-67,299
726,-69,-71,315
727,-73,-74,321
728,-76,-77,317
729,-82,-81,320
730,-85,-84,319
731,-85,-87,319
732,-89,-90,325
733,-89,-93,333
734,-92,-96,342
735,-98,-99,345
736,-101,-102,345
737,-100,-104,349
738,-104,-107,356
739,-106,-110,366
740,-110,-114,361
741,-116,-117,349
742,-120,-121,321
743,-126,-125,303
744,-130,-128,293
745,-130,-132,295
746,-129,-133,307
747,-127,-134,331
748,-130,-134,363
749,-131,-135,387
