index,u_y*1000,Us
20055,81,0
20056,77,-1000
20057,77,0
20058,81,1000
20059,81,0
20060,77,-1000
20061,77,0
20062,81,1000
20063,81,0
20064,77,-1000
20065,77,0
20066,81,1000
20067,81,0
20068,77,-1000
20069,77,0
20070,81,1000
20071,81,0
20072,77,-1000
20073,77,0
20074,81,1000
20075,81,0
20076,77,-1000
20077,77,0
20078,81,1000
20079,81,0
20080,77,-1000
20081,77,0
20082,81,1000
20083,81,0
20084,77,-1000
20085,77,0
20086,81,1000
20087,81,0
20088,85,1000
20089,85,0
20090,82,-1000
20091,78,-1000
20092,78,0
20093,82,1000
20094,86,1000
20095,86,0
20096,82,-1000
20097,78,-1000
20098,78,0
20099,82,1000
20100,86,1000
20101,86,0
20102,82,-1000
20103,78,-1000
20104,78,0
20105,82,1000
20106,86,1000
20107,86,0
20108,82,-1000
20109,78,-1000
20110,78,0
20111,82,1000
20112,86,1000
20113,86,0
20114,82,-1000
20115,78,-1000
20116,78,0
20117,82,1000
20118,82,0
20119,78,-1000
20120,78,0
20121,82,1000
20122,82,0
20123,78,-1000
20124,78,0
20125,82,1000
20126,82,0
20127,78,-1000
20128,78,0
20129,82,1000
20130,82,0
20131,78,-1000
20132,78,0
20133,82,1000
20134,82,0
20135,78,-1000
20136,78,0
20137,82,1000
20138,82,0
20139,78,-1000
20140,78,0
20141,82,1000
20142,82,0
20143,78,-1000
20144,78,0
20145,82,1000
20146,82,0
20147,78,-1000
20148,78,0
20149,82,1000
20150,82,0
20151,78,-1000
20152,78,0
20153,82,1000
20154,82,0
20155,78,-1000
20156,78,0
20157,82,1000
20158,86,1000
20159,86,0
20160,82,-1000
20161,82,0
20162,86,1000
20163,86,0
20164,82,-1000
20165,83,0
20166,87,1000
20167,87,0
20168,83,-1000
20169,79,-1000
20170,79,0
20171,83,1000
20172,83,0
20173,79,-1000
20174,79,0
20175,83,1000
20176,83,0
20177,79,-1000
20178,79,0
20179,83,1000
20180,83,0
20181,79,-1000
20182,79,0
20183,83,1000
20184,83,0
20185,79,-1000
20186,79,0
20187,83,1000
20188,83,0
20189,79,-1000
20190,79,0
20191,83,1000
20192,83,0
20193,79,-1000
20194,79,0
20195,83,1000
20196,83,0
20197,79,-1000
20198,79,0
20199,83,1000
20200,83,0
20201,79,-1000
20202,79,0
20203,83,1000
20204,83,0
20205,79,-1000
20206,79,0
20207,83,1000
20208,83,0
20209,87,1000
20210,87,0
20211,83,-1000
20212,79,-1000
20213,79,0
20214,83,1000
20215,87,1000
20216,87,0
20217,83,-1000
20218,83,0
20219,87,1000
20220,87,0
20221,83,-1000
20222,83,0
20223,79,-1000
20224,79,0
20225,83,1000
20226,87,1000
20227,87,0
20228,83,-1000
20229,80,-1000
20230,80,0
20231,84,1000
20232,88,1000
20233,88,0
20234,84,-1000
20235,80,-1000
20236,80,0
20237,84,1000
20238,84,0
20239,80,-1000
20240,80,0
20241,84,1000
20242,84,0
20243,80,-1000
20244,80,0
20245,84,1000
20246,84,0
20247,80,-1000
20248,80,0
20249,84,1000
20250,84,0
20251,80,-1000
20252,80,0
20253,84,1000
20254,84,0
20255,80,-1000
20256,80,0
20257,84,1000
20258,84,0
20259,80,-1000
20260,80,0
20261,84,1000
20262,84,0
20263,80,-1000
20264,80,0
20265,84,1000
20266,84,0
20267,80,-1000
20268,80,0
20269,84,1000
20270,84,0
20271,80,-1000
20272,80,0
20273,84,1000
20274,84,0
20275,80,-1000
20276,80,0
20277,84,1000
20278,84,0
20279,80,-1000
20280,80,0
20281,84,1000
20282,84,0
20283,80,-1000
20284,80,0
20285,84,1000
20286,88,1000
20287,88,0
20288,84,-1000
20289,80,-1000
20290,80,0
20291,84,1000
20292,88,1000
20293,88,0
20294,84,-1000
20295,80,-1000
20296,80,0
20297,84,1000
20298,88,1000
20299,88,0
20300,85,-1000
20301,81,-1000
20302,81,0
20303,85,1000
20304,89,1000
20305,89,0
20306,85,-1000
20307,81,-1000
20308,81,0
20309,85,1000
20310,85,0
20311,81,-1000
20312,81,0
20313,85,1000
20314,89,1000
20315,89,0
20316,85,-1000
20317,81,-1000
20318,81,0
20319,85,1000
20320,85,0
20321,81,-1000
20322,81,0
20323,85,1000
20324,85,0
20325,81,-1000
20326,81,0
20327,85,1000
20328,85,0
20329,81,-1000
20330,81,0
20331,85,1000
20332,85,0
20333,81,-1000
20334,81,0
20335,85,1000
20336,85,0
20337,81,-1000
20338,81,0
20339,85,1000
20340,85,0
20341,81,-1000
20342,81,0
20343,85,1000
20344,85,0
20345,81,-1000
20346,81,0
20347,85,1000
20348,85,0
20349,81,-1000
20350,81,0
20351,85,1000
20352,85,0
20353,81,-1000
20354,81,0
20355,85,1000
20356,85,0
20357,81,-1000
20358,77,-1000
20359,77,0
20360,81,1000
20361,85,1000
20362,85,0
20363,81,-1000
20364,77,-1000
20365,77,0
20366,81,1000
20367,81,0
20368,77,-1000
20369,77,0
20370,81,1000
20371,81,0
20372,77,-1000
20373,77,0
20374,81,1000
20375,81,0
20376,77,-1000
20377,77,0
20378,80,1000
20379,80,0
20380,76,-1000
20381,76,0
20382,80,1000
20383,84,1000
20384,84,0
20385,80,-1000
20386,76,-1000
20387,76,0
20388,80,1000
20389,84,1000
20390,84,0
20391,80,-1000
20392,80,0
20393,84,1000
20394,84,0
20395,80,-1000
20396,80,0
20397,84,1000
20398,84,0
20399,80,-1000
20400,80,0
20401,84,1000
20402,84,0
20403,80,-1000
20404,76,-1000
20405,76,0
20406,80,1000
20407,80,0
20408,76,-1000
20409,76,0
20410,80,1000
20411,80,0
20412,76,-1000
20413,76,0
20414,80,1000
20415,80,0
20416,76,-1000
20417,76,0
20418,80,1000
20419,80,0
20420,76,-1000
20421,76,0
20422,80,1000
20423,84,1000
20424,84,0
20425,80,-1000
20426,76,-1000
20427,76,0
20428,80,1000
20429,84,1000
20430,84,0
20431,80,-1000
20432,76,-1000
20433,76,0
20434,80,1000
20435,84,1000
20436,84,0
20437,80,-1000
20438,80,0
20439,84,1000
20440,84,0
20441,80,-1000
20442,80,0
20443,84,1000
20444,84,0
20445,80,-1000
20446,80,0
20447,84,1000
20448,84,0
20449,80,-1000
20450,76,-1000
20451,76,0
20452,80,1000
20453,84,1000
20454,84,0
20455,80,-1000
20456,80,0
20457,84,1000
20458,84,0
20459,80,-1000
20460,80,0
20461,84,1000
20462,84,0
20463,80,-1000
20464,80,0
20465,84,1000
20466,84,0
20467,80,-1000
20468,80,0
20469,84,1000
20470,84,0
20471,80,-1000
20472,80,0
20473,84,1000
20474,84,0
20475,80,-1000
20476,80,0
20477,84,1000
20478,84,0
20479,80,-1000
20480,80,0
20481,84,1000
20482,84,0
20483,80,-1000
20484,80,0
20485,84,1000
20486,84,0
20487,80,-1000
20488,80,0
20489,84,1000
20490,84,0
20491,80,-1000
20492,80,0
20493,84,1000
20494,84,0
20495,80,-1000
20496,76,-1000
20497,76,0
20498,80,1000
20499,84,1000
20500,84,0
20501,80,-1000
20502,76,-1000
20503,76,0
20504,80,1000
20505,84,1000
20506,84,0
20507,80,-1000
20508,76,-1000
20509,76,0
20510,80,1000
20511,84,1000
20512,84,0
20513,80,-1000
20514,76,-1000
20515,76,0
20516,79,1000
20517,83,1000
20518,83,0
20519,80,-1000
20520,76,-1000
20521,75,0
20522,79,1000
20523,83,1000
20524,83,0
