index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
8702,-11,-12,-20,7,3
8703,-10,-11,-42,10,0
8704,-12,-12,-47,11,1
8705,-9,-12,17,11,0
8706,-7,-12,-39,13,1
8707,-10,-12,-38,13,2
8708,-16,-13,10,11,0
8709,-15,-13,70,11,2
8710,-17,-13,70,10,0
8711,-14,-13,65,8,2
8712,-12,-12,60,7,0
8713,-12,-11,26,6,3
8714,-11,-11,-40,6,0
8715,-7,-11,-89,6,3
8716,-7,-10,-56,8,0
8717,-8,-10,-56,11,0
8718,-8,-10,-34,14,0
8719,-12,-10,-9,13,2
8720,-13,-10,55,9,0
8721,-13,-10,86,6,0
8722,-15,-11,99,3,3
8723,-16,-11,100,3,5
8724,-10,-11,44,4,4
8725,-11,-11,4,6,3
8726,-10,-11,-72,10,2
8727,-12,-11,-75,12,2
8728,-12,-12,-74,13,0
8729,-12,-13,-23,12,2
8730,-14,-13,2,12,2
8731,-13,-13,40,10,4
8732,-13,-13,61,8,1
8733,-12,-12,85,6,3
8734,-15,-12,99,6,1
8735,-16,-13,47,6,2
8736,-13,-13,-8,6,5
8737,-13,-13,-13,6,4
8738,-11,-13,-76,8,4
8739,-12,-13,-37,10,2
8740,-11,-12,-57,12,1
8741,-8,-12,5,12,3
8742,-7,-10,41,12,0
8743,-9,-9,36,11,3
8744,-11,-9,49,8,3
8745,-11,-10,69,6,3
8746,-9,-9,41,3,3
8747,-13,-9,24,3,4
8748,-12,-10,-21,4,2
8749,-11,-10,-30,6,4
8750,-7,-9,7,8,3
8751,-8,-8,-3,10,1
8752,-6,-8,-21,10,3
8753,-5,-8,1,9,0
8754,-3,-7,-1,8,3
8755,-4,-6,8,8,2
8756,-9,-6,0,7,2
8757,-10,-7,15,7,1
8758,-10,-9,26,8,3
8759,-7,-8,33,7,3
8760,-11,-7,70,5,3
8761,-9,-8,38,4,1
8762,-6,-7,19,4,3
8763,-4,-6,36,3,1
8764,-4,-5,-20,3,3
8765,-3,-5,-48,5,1
8766,-5,-5,-56,8,0
8767,-6,-5,-93,11,0
8768,-6,-6,-12,12,2
8769,-9,-7,25,12,2
8770,-6,-6,56,11,2
8771,-8,-6,75,9,1
8772,-9,-7,66,6,3
8773,-7,-6,60,4,1
8774,-4,-5,63,2,3
8775,-3,-4,-3,3,1
8776,-1,-3,-27,4,4
8777,-4,-4,-58,5,3
8778,-4,-5,-114,6,1
8779,-5,-5,-36,9,0
8780,-5,-5,-16,12,1
8781,-4,-5,5,12,0
8782,-6,-6,60,10,0
8783,-10,-7,66,6,2
8784,-11,-8,56,3,2
8785,-9,-8,56,2,3
8786,-6,-8,57,3,3
8787,-7,-7,-10,4,4
8788,-7,-6,-40,5,3
8789,-6,-7,-57,8,1
8790,-3,-6,-57,9,0
8791,-5,-6,-50,10,1
8792,-6,-6,-14,10,2
8793,-7,-8,23,9,4
8794,-6,-8,39,9,1
8795,-5,-7,64,8,2
8796,-7,-6,50,8,0
8797,-7,-6,55,7,2
8798,-8,-6,40,6,4
8799,-13,-7,1,3,2
8800,-9,-8,-18,3,4
8801,-12,-9,-34,5,2
8802,-9,-10,-21,8,2
8803,-10,-10,-23,10,0
8804,-10,-11,-26,13,2
8805,-9,-12,-22,12,2
8806,-12,-12,4,11,2
8807,-11,-11,-11,8,1
8808,-10,-10,9,6,1
8809,-8,-9,48,6,3
8810,-7,-8,38,6,1
8811,-10,-8,58,7,3
8812,-9,-8,57,4,-15
8813,-8,-8,36,-10,-32
8814,-9,-8,-7,-43,-32
8815,-9,-9,25,-74,-28
8816,-6,-10,-37,-89,-25
8817,-6,-11,-55,-88,-27
8818,-9,-11,-40,-78,-32
8819,-7,-10,-53,-68,-38
8820,-12,-10,-16,-64,-43
8821,-10,-11,-15,-66,-42
8822,-11,-12,2,-73,-43
8823,-11,-12,-18,-81,-45
8824,-7,-12,-92,-89,-45
8825,-9,-12,-102,-96,-46
8826,-6,-11,-189,-105,-49
8827,-9,-12,-180,-112,-50
8828,-9,-12,-141,-122,-50
8829,-10,-13,-150,-135,-51
8830,-9,-13,-146,-150,-50
8831,-13,-15,-244,-163,-48
8832,-14,-17,-274,-177,-49
8833,-16,-19,-314,-193,-47
8834,-20,-21,-287,-211,-45
8835,-25,-24,-322,-229,-44
8836,-34,-29,-380,-246,-41
8837,-30,-33,-416,-263,-40
8838,-33,-36,-379,-282,-34
8839,-38,-40,-385,-299,-35
8840,-39,-43,-426,-321,-31
8841,-46,-46,-426,-342,-26
8842,-46,-50,-439,-359,-24
8843,-55,-56,-433,-377,-18
8844,-65,-63,-432,-394,-12
8845,-70,-70,-434,-416,-10
8846,-72,-75,-491,-441,-4
8847,-71,-80,-521,-462,1
8848,-80,-86,-570,-482,8
8849,-87,-93,-564,-504,15
8850,-102,-100,-576,-526,21
8851,-109,-109,-585,-549,29
8852,-114,-118,-659,-569,37
8853,-117,-126,-736,-587,43
8854,-132,-135,-741,-602,51
8855,-145,-145,-763,-616,60
8856,-162,-158,-738,-629,66
8857,-170,-170,-659,-642,75
8858,-178,-180,-665,-651,82
8859,-192,-191,-708,-656,89
8860,-204,-203,-795,-657,98
8861,-212,-214,-736,-652,103
8862,-232,-225,-735,-638,107
8863,-247,-238,-702,-617,108
8864,-261,-251,-634,-592,111
8865,-265,-263,-564,-563,115
8866,-274,-272,-500,-528,114
8867,-289,-283,-360,-484,114
8868,-293,-293,-254,-438,113
8869,-306,-302,-258,-390,112
8870,-320,-311,-246,-338,112
8871,-326,-320,-206,-285,108
8872,-327,-326,-145,-236,107
8873,-336,-331,-40,-189,103
8874,-344,-338,22,-143,100
8875,-341,-341,12,-103,99
8876,-350,-344,5,-69,96
8877,-348,-347,19,-42,98
8878,-352,-348,34,-28,98
8879,-351,-349,8,-19,98
8880,-346,-350,58,-13,99
8881,-345,-349,11,-3,101
8882,-343,-348,-5,5,99
8883,-347,-346,26,13,97
8884,-347,-346,85,19,99
8885,-345,-346,47,24,99
